,Mean rank (AUC),Mean AUC,Mean gain in AUC,Best-performing datasets count (AUC),Maximum gain in AUC
ET,8.0,0.707,0.008,6,0.223
LASSO,8.2,0.707,0.008,3,0.131
MRMRe,8.7,0.699,0.001,2,0.117
None,8.8,0.699,0.0,1,0.0
Boruta,9.0,0.7,0.002,4,0.076
RFE-LR,9.5,0.7,0.002,3,0.124
ANOVA,9.5,0.693,-0.005,5,0.116
NMF,9.8,0.689,-0.01,3,0.14
Kendall,9.8,0.694,-0.004,2,0.108
t-Score,9.9,0.69,-0.008,2,0.096
ICA,10.2,0.686,-0.013,1,0.084
Bhattacharyya,10.3,0.689,-0.01,4,0.152
MBDL,10.4,0.687,-0.012,0,0.091
TruncatedSVD,10.4,0.687,-0.012,0,0.079
PCA,10.6,0.686,-0.012,1,0.089
FA,10.8,0.687,-0.012,4,0.175
kPCA,11.1,0.685,-0.014,5,0.133
SRP,12.5,0.667,-0.031,2,0.115
UMAP,12.5,0.665,-0.034,4,0.139
